poke_name,label
Bulbasaur,tackle
Bulbasaur,growl
Bulbasaur,leechseed
Bulbasaur,vinewhip
Bulbasaur,poisonpowder
Bulbasaur,sleeppowder
Bulbasaur,takedown
Bulbasaur,razorleaf
Bulbasaur,sweetscent
Bulbasaur,growth
Bulbasaur,sleeppowder
Bulbasaur,doubleedge
Bulbasaur,worryseed
Bulbasaur,synthesis
Bulbasaur,solarbeam
Bulbasaur,seedbomb
Bulbasaur,amnesia
Bulbasaur,charm
Bulbasaur,curse
Bulbasaur,endure
Bulbasaur,gigadrain
Bulbasaur,grasswhistle
Bulbasaur,grassyterrain
Bulbasaur,ingrain
Bulbasaur,leafstorm
Bulbasaur,lightscreen
Bulbasaur,magicalleaf
Bulbasaur,naturepower
Bulbasaur,petaldance
Bulbasaur,powerwhip
Bulbasaur,razorwind
Bulbasaur,safeguard
Bulbasaur,skullbash
Bulbasaur,sludge
Bulbasaur,bind
Bulbasaur,bodyslam
Bulbasaur,defensecurl
Bulbasaur,doubleedge
Bulbasaur,endure
Bulbasaur,furycutter
Bulbasaur,gigadrain
Bulbasaur,grasspledge
Bulbasaur,headbutt
Bulbasaur,knockoff
Bulbasaur,mimic
Bulbasaur,mudslap
Bulbasaur,seedbomb
Bulbasaur,sleeptalk
Bulbasaur,snore
Bulbasaur,stringshot
Bulbasaur,substitute
Bulbasaur,swagger
Bulbasaur,swordsdance
Bulbasaur,synthesis
Bulbasaur,worryseed
Bulbasaur,swordsdance
Bulbasaur,headbutt
Bulbasaur,curse
Bulbasaur,workup
Bulbasaur,toxic
Bulbasaur,venoshock
Bulbasaur,bulletseed
Bulbasaur,bodyslam
Bulbasaur,hiddenpower
Bulbasaur,sunnyday
Bulbasaur,lightscreen
Bulbasaur,sweetscent
Bulbasaur,snore
Bulbasaur,protect
Bulbasaur,safeguard
Bulbasaur,gigadrain
Bulbasaur,endure
Bulbasaur,frustration
Bulbasaur,takedown
Bulbasaur,doubleedge
Bulbasaur,rage
Bulbasaur,megadrain
Bulbasaur,solarbeam
Bulbasaur,mimic
Bulbasaur,return
Bulbasaur,mudslap
Bulbasaur,doubleteam
Bulbasaur,sludgebomb
Bulbasaur,facade
Bulbasaur,secretpower
Bulbasaur,swagger
Bulbasaur,sleeptalk
Bulbasaur,defensecurl
Bulbasaur,reflect
Bulbasaur,bide
Bulbasaur,rest
Bulbasaur,attract
Bulbasaur,furycutter
Bulbasaur,round
Bulbasaur,echoedvoice
Bulbasaur,energyball
Bulbasaur,endure
Bulbasaur,flash
Bulbasaur,swordsdance
Bulbasaur,captivate
Bulbasaur,sleeptalk
Bulbasaur,naturalgift
Bulbasaur,grassknot
Bulbasaur,swagger
Bulbasaur,sleeptalk
Bulbasaur,substitute
Bulbasaur,secretpower
Bulbasaur,rocksmash
Bulbasaur,naturepower
Bulbasaur,confide
Bulbasaur,cut
Bulbasaur,strength
Bulbasaur,flash
Bulbasaur,rocksmash
Ivysaur,tackle
Ivysaur,growl
Ivysaur,leechseed
Ivysaur,growl
Ivysaur,leechseed
Ivysaur,vinewhip
Ivysaur,poisonpowder
Ivysaur,sleeppowder
Ivysaur,takedown
Ivysaur,razorleaf
Ivysaur,sweetscent
Ivysaur,growth
Ivysaur,sleeppowder
Ivysaur,doubleedge
Ivysaur,worryseed
Ivysaur,synthesis
Ivysaur,solarbeam
Ivysaur,seedbomb
Ivysaur,amnesia
Ivysaur,charm
Ivysaur,curse
Ivysaur,endure
Ivysaur,gigadrain
Ivysaur,grasswhistle
Ivysaur,grassyterrain
Ivysaur,ingrain
Ivysaur,leafstorm
Ivysaur,lightscreen
Ivysaur,magicalleaf
Ivysaur,naturepower
Ivysaur,petaldance
Ivysaur,powerwhip
Ivysaur,razorwind
Ivysaur,safeguard
Ivysaur,skullbash
Ivysaur,sludge
Ivysaur,bind
Ivysaur,bodyslam
Ivysaur,defensecurl
Ivysaur,doubleedge
Ivysaur,endure
Ivysaur,furycutter
Ivysaur,gigadrain
Ivysaur,grasspledge
Ivysaur,headbutt
Ivysaur,knockoff
Ivysaur,mimic
Ivysaur,mudslap
Ivysaur,seedbomb
Ivysaur,sleeptalk
Ivysaur,snore
Ivysaur,stringshot
Ivysaur,substitute
Ivysaur,swagger
Ivysaur,swordsdance
Ivysaur,synthesis
Ivysaur,worryseed
Ivysaur,swordsdance
Ivysaur,headbutt
Ivysaur,curse
Ivysaur,workup
Ivysaur,toxic
Ivysaur,venoshock
Ivysaur,bulletseed
Ivysaur,bodyslam
Ivysaur,hiddenpower
Ivysaur,sunnyday
Ivysaur,lightscreen
Ivysaur,sweetscent
Ivysaur,snore
Ivysaur,protect
Ivysaur,safeguard
Ivysaur,gigadrain
Ivysaur,endure
Ivysaur,frustration
Ivysaur,takedown
Ivysaur,doubleedge
Ivysaur,rage
Ivysaur,megadrain
Ivysaur,solarbeam
Ivysaur,mimic
Ivysaur,return
Ivysaur,mudslap
Ivysaur,doubleteam
Ivysaur,sludgebomb
Ivysaur,facade
Ivysaur,secretpower
Ivysaur,swagger
Ivysaur,sleeptalk
Ivysaur,defensecurl
Ivysaur,reflect
Ivysaur,bide
Ivysaur,rest
Ivysaur,attract
Ivysaur,furycutter
Ivysaur,round
Ivysaur,echoedvoice
Ivysaur,energyball
Ivysaur,endure
Ivysaur,flash
Ivysaur,swordsdance
Ivysaur,captivate
Ivysaur,sleeptalk
Ivysaur,naturalgift
Ivysaur,grassknot
Ivysaur,swagger
Ivysaur,sleeptalk
